[Script Info]						
ScriptType: v4.00+						
Collisions: Normal						
PlayResX: 384						
PlayResY: 288						
Timer: 100.0000						

[V4+ Styles]						
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding						
Style: Default,Tahoma,24,&H00FFFFFF,&H00FFFFFF,&H00FFFFFF,&H00C0C0C0,-1,0,0,0,100,100,0,0.00,1,2,3,2,20,20,20,1						

[Events]						
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:06.50,0:00:08.91,Default,,0000,0000,0000,,エリジウムの市民諸君！
Dialogue: 0,0:00:09.02,0:00:12.38,Default,,0000,0000,0000,,皆がこの日をどれほど待ちわびていたか、私には分かっている。
Dialogue: 0,0:00:12.64,0:00:19.05,Default,,0000,0000,0000,,しかし残念ながら、クレタス監査官一行がまだ帰還していないことを報告せねばならない。
Dialogue: 0,0:00:19.32,0:00:29.44,Default,,0000,0000,0000,,したがって、デポニアのゴミの山の中で、住民の一部が何らかの形で\n今日まで生き延びているという、わずかな可能性を排除することはできない。
Dialogue: 0,0:00:29.60,0:00:37.72,Default,,0000,0000,0000,,ユリシーズ統治官は、オルガノンが任務を遂行する準備ができていることを認めた。
Dialogue: 0,0:00:37.97,0:00:51.05,Default,,0000,0000,0000,,調査チームがポルタ・フィスコの廃墟から戻り、安全が確認され次第、\n我々のユートピアへの壮大な旅を妨げるものは何もなくなるだろう。
Dialogue: 0,0:00:51.34,0:01:00.94,Default,,0000,0000,0000,,我々の故郷である惑星を爆破するよう、オルガノンに合図を送るまで、\nあと数時間の猶予があるのみだ。
Dialogue: 0,0:01:01.30,0:01:03.13,Default,,0000,0000,0000,,朗報もある。
Dialogue: 0,0:01:03.58,0:01:10.07,Default,,0000,0000,0000,,この遅れにより、ウォータースライダーは当面の間、営業を継続することになった。
Dialogue: 0,0:1:26.89,0:01:30.40,Default,,0000,0000,0000,,これで三度目の正直か、お前は俺をただの
Dialogue: 0,0:01:30.60,0:01:33.67,Default,,0000,0000,0000,,ゴミ袋みたいに捨てやがった。理由はなんだ？カーペットに
Dialogue: 0,0:01:33.82,0:01:37.17,Default,,0000,0000,0000,,マスタードをこぼしたからか、この救いようのないマヌケめ
Dialogue: 0,0:01:37.36,0:01:40.41,Default,,0000,0000,0000,,お前のユーモアセンスも死に絶えたようだな。
Dialogue: 0,0:01:40.69,0:01:43.81,Default,,0000,0000,0000,,だが、まだ終わっちゃいない！賭けてもいいぜ、
Dialogue: 0,0:01:43.98,0:01:47.33,Default,,0000,0000,0000,,俺の物語の結末を聞けば、お前もきっと納得して
Dialogue: 0,0:01:47.55,0:01:50.34,Default,,0000,0000,0000,,考えを改めるはずだ。さあ、その補聴器のスイッチを入れろ、
Dialogue: 0,0:01:50.61,0:01:54.32,Default,,0000,0000,0000,,物語は続く。三度目の正直ってやつだ。
Dialogue: 0,0:01:54.53,0:01:57.52,Default,,0000,0000,0000,,ハッザー！三度目の正直だ！
